"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"199",436056,"04/16/2018","16:10","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"200",436078,"04/17/2018","01:46","518-08","Theft","2000 N LINCOLN AV ,URBANA,IL","40.1311870482836","-88.2194348858386"
"201",436095,"04/17/2018","15:55","576-02","Theft","500 E GREEN ST ,URBANA,IL","40.110902","-88.202425"
"202",436126,"04/18/2018","13:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"203",436163,"04/19/2018","14:00","575-04","Theft","200 W GREEN ST ,URBANA,IL","40.110792","-88.209057"
"204",436170,"04/19/2018","17:30","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"205",436174,"04/19/2018","20:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"206",436182,"04/20/2018","00:01","576-04","Theft","1300 E GREEN ST ,URBANA,IL","40.11103","-88.19323"
"207",436188,"04/20/2018","12:00","576-05","Theft","100 W CALIFORNIA AV ,URBANA,IL","40.108488","-88.207483"
"208",436200,"04/20/2018","19:00","575-04","Theft","400 W HIGH ST ,URBANA,IL","40.109933","-88.211919"
"209",436201,"04/20/2018","20:45","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"210",436220,"04/21/2018","05:09","518-08","Theft","2000 N LINCOLN AV ,URBANA,IL","40.1311870482836","-88.2194348858386"
"211",436229,"04/21/2018","16:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"212",436248,"04/22/2018","12:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"213",436291,"04/23/2018","16:00","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"214",436360,"04/25/2018","11:40","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"215",436429,"04/26/2018","12:35","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"216",436460,"04/27/2018","02:00","605-08","Theft","1400 SILVER ST ,URBANA,IL","40.091568","-88.191664"
